PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_Encoded,Embarked_C,Embarked_Q,Embarked_S,Age_Normalized,Fare_Normalized,SibSp_Normalized,Parch_Normalized
1,0,3,22.0,1.0,0,7.25,1,0,0,1,0.375,0.11046036834342966,0.4,
2,1,1,38.0,1.0,0,65.6344,0,1,0,0,0.6826923076923077,1.0,0.4,
3,1,3,26.0,0.0,0,7.925,0,0,0,1,0.4519230769230769,0.12074460953402484,0.0,
4,1,1,35.0,1.0,0,53.1,0,0,0,1,0.625,0.8090269736601539,0.4,
5,0,3,35.0,0.0,0,8.05,1,0,0,1,0.625,0.12264909864339434,0.0,
6,0,3,28.0,0.0,0,8.4583,1,0,1,0,0.49038461538461536,0.12886992187023877,0.0,
7,0,1,54.0,0.0,0,51.8625,1,0,0,1,0.9903846153846154,0.790172531477396,0.0,
8,0,3,2.5,2.5,0,21.075,1,0,0,1,0.0,0.3210968638396938,1.0,
9,1,3,27.0,0.0,0,11.1333,0,0,0,1,0.47115384615384615,0.1696259888107456,0.0,
10,1,2,14.0,1.0,0,30.0708,0,1,0,0,0.22115384615384615,0.4581560888802213,0.4,
11,1,3,4.0,1.0,0,16.7,0,0,0,1,0.028846153846153848,0.25443974501176214,0.4,
12,1,1,54.5,0.0,0,26.55,0,0,0,1,1.0,0.40451348683007693,0.0,
13,0,3,20.0,0.0,0,8.05,1,0,0,1,0.33653846153846156,0.12264909864339434,0.0,
14,0,3,39.0,1.0,0,31.275,1,0,0,1,0.7019230769230769,0.4765031751642431,0.4,
15,0,3,14.0,0.0,0,7.8542,0,0,0,1,0.22115384615384615,0.11966590690247797,0.0,
16,1,2,54.5,0.0,0,16.0,0,0,0,1,1.0,0.24377460599929304,0.0,
17,0,3,2.5,2.5,0,29.125,1,0,1,0,0.0,0.4437459624830881,1.0,
18,1,2,28.0,0.0,0,13.0,1,0,0,1,0.49038461538461536,0.1980668673744256,0.0,
19,0,3,31.0,1.0,0,18.0,0,0,0,1,0.5480769230769231,0.2742464317492047,0.4,
20,1,3,28.0,0.0,0,7.225,0,1,0,0,0.49038461538461536,0.11007947052155577,0.0,
21,0,2,35.0,0.0,0,26.0,1,0,0,1,0.625,0.3961337347488512,0.0,
22,1,2,34.0,0.0,0,13.0,1,0,0,1,0.6057692307692307,0.1980668673744256,0.0,
23,1,3,15.0,0.0,0,8.0292,0,0,1,0,0.2403846153846154,0.12233219165559522,0.0,
24,1,1,28.0,0.0,0,35.5,1,0,0,1,0.49038461538461536,0.5408749070609314,0.0,
25,0,3,8.0,2.5,0,21.075,0,0,0,1,0.10576923076923077,0.3210968638396938,1.0,
26,1,3,38.0,1.0,0,31.3875,0,0,0,1,0.6826923076923077,0.47821721536267564,0.4,
27,0,3,28.0,0.0,0,7.225,1,1,0,0,0.49038461538461536,0.11007947052155577,0.0,
28,0,1,19.0,2.5,0,65.6344,1,0,0,1,0.3173076923076923,1.0,1.0,
29,1,3,28.0,0.0,0,7.8792,0,0,1,0,0.49038461538461536,0.12004680472435186,0.0,
30,0,3,28.0,0.0,0,7.8958,1,0,0,1,0.49038461538461536,0.12029972087807614,0.0,
31,0,1,40.0,0.0,0,27.7208,1,1,0,0,0.7211538461538461,0.4223516936240752,0.0,
32,1,1,28.0,1.0,0,65.6344,0,1,0,0,0.49038461538461536,1.0,0.4,
33,1,3,28.0,0.0,0,7.75,0,0,1,0,0.49038461538461536,0.11807832478090757,0.0,
34,0,2,54.5,0.0,0,10.5,1,0,0,1,1.0,0.15997708518703607,0.0,
35,0,1,28.0,1.0,0,65.6344,1,1,0,0,0.49038461538461536,1.0,0.4,
36,0,1,42.0,1.0,0,52.0,1,0,0,1,0.7596153846153846,0.7922674694977024,0.4,
37,1,3,28.0,0.0,0,7.2292,1,1,0,0,0.49038461538461536,0.11014346135563058,0.0,
38,0,3,21.0,0.0,0,8.05,1,0,0,1,0.3557692307692308,0.12264909864339434,0.0,
39,0,3,18.0,2.0,0,18.0,0,0,0,1,0.2980769230769231,0.2742464317492047,0.8,
40,1,3,14.0,1.0,0,11.2417,0,1,0,0,0.22115384615384615,0.1712775617663908,0.4,
41,0,3,40.0,1.0,0,9.475,0,0,0,1,0.7211538461538461,0.14436027449020636,0.4,
42,0,2,27.0,1.0,0,21.0,0,0,0,1,0.47115384615384615,0.31995417037407214,0.4,
43,0,3,28.0,0.0,0,7.8958,1,1,0,0,0.49038461538461536,0.12029972087807614,0.0,
44,1,2,3.0,1.0,0,41.5792,0,1,0,0,0.009615384615384616,0.6334970686103628,0.4,
45,1,3,19.0,0.0,0,7.8792,0,0,1,0,0.3173076923076923,0.12004680472435186,0.0,
46,0,3,28.0,0.0,0,8.05,1,0,0,1,0.49038461538461536,0.12264909864339434,0.0,
47,0,3,28.0,1.0,0,15.5,1,0,1,0,0.49038461538461536,0.23615664956181515,0.4,
48,1,3,28.0,0.0,0,7.75,0,0,1,0,0.49038461538461536,0.11807832478090757,0.0,
49,0,3,28.0,2.0,0,21.6792,1,1,0,0,0.49038461538461536,0.33030240239874215,0.8,
50,0,3,18.0,1.0,0,17.8,0,0,0,1,0.2980769230769231,0.2711992491742135,0.4,
51,0,3,7.0,2.5,0,39.6875,1,0,0,1,0.08653846153846154,0.604675292224809,1.0,
52,0,3,21.0,0.0,0,7.8,1,0,0,1,0.3557692307692308,0.11884012042465536,0.0,
53,1,1,49.0,1.0,0,65.6344,0,1,0,0,0.8942307692307693,1.0,0.4,
54,1,2,29.0,1.0,0,26.0,0,0,0,1,0.5096153846153846,0.3961337347488512,0.4,
55,0,1,54.5,0.0,0,61.9792,1,1,0,0,1.0,0.9443096912594615,0.0,
56,1,1,28.0,0.0,0,35.5,1,0,0,1,0.49038461538461536,0.5408749070609314,0.0,
57,1,2,21.0,0.0,0,10.5,0,0,0,1,0.3557692307692308,0.15997708518703607,0.0,
58,0,3,28.5,0.0,0,7.2292,1,1,0,0,0.5,0.11014346135563058,0.0,
59,1,2,5.0,1.0,0,27.75,0,0,0,1,0.04807692307692308,0.42279658228002387,0.4,
60,0,3,11.0,2.5,0,46.9,1,0,0,1,0.16346153846153846,0.7145643138354277,1.0,
61,0,3,22.0,0.0,0,7.2292,1,1,0,0,0.375,0.11014346135563058,0.0,
62,1,1,38.0,0.0,0,65.6344,0,0,0,1,0.6826923076923077,1.0,0.0,
63,0,1,45.0,1.0,0,65.6344,1,0,0,1,0.8173076923076923,1.0,0.4,
64,0,3,4.0,2.5,0,27.9,1,0,0,1,0.028846153846153848,0.42508196921126723,1.0,
65,0,1,28.0,0.0,0,27.7208,1,1,0,0,0.49038461538461536,0.4223516936240752,0.0,
66,1,3,28.0,1.0,0,15.2458,1,1,0,0,0.49038461538461536,0.23228368050900136,0.4,
67,1,2,29.0,0.0,0,10.5,0,0,0,1,0.5096153846153846,0.15997708518703607,0.0,
68,0,3,19.0,0.0,0,8.1583,1,0,0,1,0.3173076923076923,0.12429914800775205,0.0,
69,1,3,17.0,2.5,0,7.925,0,0,0,1,0.27884615384615385,0.12074460953402484,1.0,
70,0,3,26.0,2.0,0,8.6625,1,0,0,1,0.4519230769230769,0.13198109527930474,0.8,
71,0,2,32.0,0.0,0,10.5,1,0,0,1,0.5673076923076923,0.15997708518703607,0.0,
72,0,3,16.0,2.5,0,46.9,0,0,0,1,0.25961538461538464,0.7145643138354277,1.0,
73,0,2,21.0,0.0,0,65.6344,1,0,0,1,0.3557692307692308,1.0,0.0,
74,0,3,26.0,1.0,0,14.4542,1,1,0,0,0.4519230769230769,0.22022293187718636,0.4,
75,1,3,32.0,0.0,0,56.4958,1,0,0,1,0.5673076923076923,0.8607650866009289,0.0,
76,0,3,25.0,0.0,0,7.65,1,0,0,1,0.4326923076923077,0.116554733493412,0.0,
77,0,3,28.0,0.0,0,7.8958,1,0,0,1,0.49038461538461536,0.12029972087807614,0.0,
78,0,3,28.0,0.0,0,8.05,1,0,0,1,0.49038461538461536,0.12264909864339434,0.0,
79,1,2,2.5,0.0,0,29.0,1,0,0,1,0.0,0.44184147337371865,0.0,
80,1,3,30.0,0.0,0,12.475,0,0,0,1,0.5288461538461539,0.1900680131150738,0.0,
81,0,3,22.0,0.0,0,9.0,1,0,0,1,0.375,0.13712321587460236,0.0,
82,1,3,29.0,0.0,0,9.5,1,0,0,1,0.5096153846153846,0.14474117231208025,0.0,
83,1,3,28.0,0.0,0,7.7875,0,0,1,0,0.49038461538461536,0.11864967151371841,0.0,
84,0,1,28.0,0.0,0,47.1,1,0,0,1,0.49038461538461536,0.717611496410419,0.0,
85,1,2,17.0,0.0,0,10.5,0,0,0,1,0.27884615384615385,0.15997708518703607,0.0,
86,1,3,33.0,2.5,0,15.85,0,0,0,1,0.5865384615384616,0.24148921906804968,1.0,
87,0,3,16.0,1.0,0,34.375,1,0,0,1,0.25961538461538464,0.5237345050766061,0.4,
88,0,3,28.0,0.0,0,8.05,1,0,0,1,0.49038461538461536,0.12264909864339434,0.0,
89,1,1,23.0,2.5,0,65.6344,0,0,0,1,0.3942307692307692,1.0,1.0,
90,0,3,24.0,0.0,0,8.05,1,0,0,1,0.41346153846153844,0.12264909864339434,0.0,
91,0,3,29.0,0.0,0,8.05,1,0,0,1,0.5096153846153846,0.12264909864339434,0.0,
92,0,3,20.0,0.0,0,7.8542,1,0,0,1,0.33653846153846156,0.11966590690247797,0.0,
93,0,1,46.0,1.0,0,61.175,1,0,0,1,0.8365384615384616,0.932056970125422,0.4,
94,0,3,26.0,1.0,0,20.575,1,0,0,1,0.4519230769230769,0.3134789074022159,0.4,
95,0,3,54.5,0.0,0,7.25,1,0,0,1,1.0,0.11046036834342966,0.0,
96,0,3,28.0,0.0,0,8.05,1,0,0,1,0.49038461538461536,0.12264909864339434,0.0,
97,0,1,54.5,0.0,0,34.6542,1,1,0,0,1.0,0.5279883719512939,0.0,
98,1,1,23.0,0.0,0,63.3583,1,1,0,0,0.3942307692307692,0.9653215387053131,0.0,
99,1,2,34.0,0.0,0,23.0,0,0,0,1,0.6057692307692307,0.3504259961239838,0.0,
100,0,2,34.0,1.0,0,26.0,1,0,0,1,0.6057692307692307,0.3961337347488512,0.4,
101,0,3,28.0,0.0,0,7.8958,0,0,0,1,0.49038461538461536,0.12029972087807614,0.0,
102,0,3,28.0,0.0,0,7.8958,1,0,0,1,0.49038461538461536,0.12029972087807614,0.0,
103,0,1,21.0,0.0,0,65.6344,1,0,0,1,0.3557692307692308,1.0,0.0,
